Funtion,Time,nb_samples,nb_seeds,aiport_open-period,airport_open_gate,nb_total_agents,mean_ticks_taken
lhs,8.75077571471532,3,2,800,true,242,16614.8333333333
lhs,9.72006988128026,3,2,800,true,242,16547.1666666667
lhs,11.1181937813759,3,2,800,true,242,16547.1666666667
lhs,5.43078110218048,3,2,800,true,134,15891.8333333333
lhs,2.07107256650925,3,2,800,true,53,15717.3333333333
lhs,3.95532096624374,3,2,800,true,134,16244.1666666667
lhs,1.02977095047633,3,2,0.333333333333333,2000
lhs,2.59327183564504,3,2,18.1666666666667,6000
lhs,2.42026469707489,3,2,43.5,6000
lhs,2.18396633466085,3,2,47.5,6000
