procedure,calls,inclusive_time,exclusive_time
C-PED,23,4952541,3151025
UPDATE-AFTER-MOVEMENT,100,1989877,1989877
TRACK-CONTACTS,100,4380020,4380020
DP-BY-ID,49651,372474674,372474674
LOADCONNECTIONS,1,6920563,1644186
SET-SHORTEST-PATH-AND-NEXT-DESTINATION,36,4668365,786169
SET-AGENTS,23,5255439,302898
RECALCULATE-SHORTEST-PATH,13,5075202,1053411
SETUP,1,1009045795,108616675
SET-INITIAL-PATH-AND-NEXT-DESTINATION,23,1801516,1154942
C-DECISION-POINT,90,1237884,1237884
PROFILE,1,467374269,415913
MOVE,100,466861910,460492013
BUILD-CONNECTION-BETWEEN,117,5048982,5048982
LOAD-ALL-PATHS,1,173348492,140687713
LOADNODES,1,4627867,1648999
SET-NAVIGATION-SYSTEM-PATH,13,3882196,3882196
COLLAPSE-STRING-LIST,3580,32660779,32660779
ESTABLISH-ENVIRONMENT,1,248157929,248157929
